title,body,compensation,pay_amount,amount,email
YouTube Video,"QR Code Link to This Post
            
        
Hi. Looking for someone around 18-30, with a good personality to be in a interview type video, for a new YouTube channel. Will be doing this sometime this week, in the Providence area. Will take about 3 hours to complete. Pay is $100. Send a link to your social media page for consideration, thanks.",compensation: 100,100,NA,c36a4086cf183a8985f8c33ec78e04e6@gigs.craigslist.org
Adobe Illustrator designer,"QR Code Link to This Post
            
        
RF Works is seeking a qualified candidate that has knowledge is Adobe Illustrator. This will be a contract position teaching one of our own employees how to use Adobe Illustrator to help create dies for customers. This position will require you to be able to create cut lines as well as stitch seal lines. After you have taught our employee how to do this, we will still provide you with work for Adobe Illustrator. This position will be a contract position and will pay well for your time.",compensation: 20.00-30.00 per hour depending on experience,20,hour,4c9ccb0a09a631a0a1afb993cff0e81a@gigs.craigslist.org
Fashion Models Needed for photo shoot!!,"QR Code Link to This Post
            
        
Full Job Description

We are looking for Male and Female Models

To be considered for this amazing opportunity, all candidates must have: * Ability to communicate fit information in a clear and detailed manner. *Ability to stand for long periods of time * Be punctual, professional, and reliable.*

Job Type: Contract

Experience: Not required

Location: Boston, MA 02134.

Language: English (Preferred)

Required travel: No 

Work Location: One location

Benefits: Flexible schedule",compensation: $1500,1500,NA,578caf7ed0a9358ab7cddaa415c3844a@gigs.craigslist.org
Looking for camera/video tutor,"QR Code Link to This Post
            
        
Hello!  I'm an experienced event (mostly wedding) videographer, using relatively high end Canon DSLR's like the 1dX mkII and the 6D Mk II, and sonys like the FS100 and AX2000.  I've got a bit of time to improve my skills right now, but obviously I don't know what I don't know.  I've got a BFA in Film, but it's been about 8 years since I got it, and I've become kind of set in my ways.  I'm looking to hire someone who can look at my work and help me figure out ways I can improve, both in shooting style and in camera settings.  This is not a beginner sort of thing, I'm not going to be asking you what ISO is.

If you think you could help me out, please email me a bit about your experience levels, some samples of your work, and how much you'd charge for your time.",compensation: Please send your rates,-1,NA,7c3ecfd209223cfc864872cdf70ade5d@gigs.craigslist.org
Illustrator Wanted for drawing Wrestling,"QR Code Link to This Post
            
        
I am in need of an artist who can draw pictures of people in sports action - specifically high school wrestling (not 'professional 'rasslin).  They will be used in a book to supplement my text. I will be needing 25 to 50 drawings.  I will supply you with photographs that you can use as the basis for your drawings - I do not want detailed drawings - minimalist approach to capture essence of the body positions - not details of beard, etc.  Faces need to be distinctive, but can be caricatures, not perfection.",compensation: Negotiable,-1,NA,201e9531431f34118856f610236646ef@gigs.craigslist.org
Portrait Artist to complete painting by 2/10/2020,"QR Code Link to This Post
            
        
Hello,

I am seeking a portrait artist to create a 24x36 piece as a gift. 
It would have to be completed no later than 2/10/2020.

If interested, please confirm you will be able to complete the piece in time and send links to your work or portfolio.

Look forward to hearing from you!",compensation: TBD Flat Rate,-1,NA,b5060906615a3901a201d46e5a60a63e@gigs.craigslist.org
Model $$,"QR Code Link to This Post
            
        
Model need in Charlotte nc for photoshoot 
Paid in cash 
Female only 
100 per hour 
Please call or text 
7o3 232 2773",compensation: 100$per hour,-1,hour,890333d334da30278db9911f50a96db2@gigs.craigslist.org
React developer - short term project,"QR Code Link to This Post
            
        
I am looking for a react native developer to build a mobile app involving video streaming from scratch. This is a short term (1month) small project.
Tech skills:
React js
React Native
Cloud

You can work remote and meet for initial meetings in Austin/round rock/ cedar park areas",compensation: 750,750,NA,4567f89156973e2288ef1e1ac2227473@gigs.craigslist.org
Local Artists needed for textile designs,"QR Code Link to This Post
            
        
Local Artist needed for textile designs for t-shirts and mugs. Looking for multiple style artist for multiple projects. The average drawing  involves 2 or 3 iterations and pays $500 dollars. A detailed sample will be supplied to recreate and enhance. First project at hand, requires an Artist that specializes in hand drawn  black and white silhouette style of Historical Buildings, Mountains & Orange Groves, see photo.",compensation: 500,500,NA,1f84f58ecf5f35668efe2e75caaac09e@gigs.craigslist.org
Data Entry Processor,"QR Code Link to This Post
            
        
We are searching for someone that can manually enter data and photos into to satisfy client needs. Each work order can take 1 to 2 hours and requires a high degree of accuracy and attention to detail. There are multiple entry fields and photo requirements per work order. Each photo must be downloaded and then, uploaded to the system. 

Qualifications: 
- Familiarity with Microsoft Office Suite
- Ability to upload a .jpeg file",compensation: $10/hr,10,hr,2688da306f7f3d5fa0639e657fac396e@gigs.craigslist.org
FREE CLASS. How To Book TV Commercials,"QR Code Link to This Post
            
        
FREE CLASS! How To Sign With A Top Commercial Agent & Book TV Commercials. 
Mon. Jan. 27th, 2:30pm OR 5pm
Tue. Jan. 28th, 2:30pm OR  5pm
Wed. Jan. 29th, 2:0pm OR 5pm

Class Size Limit: 5 people

The Class is only 60 minutes)

These Actors Recently Booked These National Commercials!:
Crystal Jenious/Bayer Aspirin
Jamila Majesty/Enfamil
Lindsay Mallard/Mercedes
Steve Dez/Wendy's
Troy Williams/Grub Hub
Steven Littles/Little Caesar's
Gina Jackson / Walmart
Rodney Collins / Honda
Mario White / AT&T

4 REASONS YOU NEED TO COME TO THIS FREE CLASS. YOU:
1. Just moved to L.A. Just starting your Acting Career
2. Been Acting for a short/long time. Don't have an Agent.
3. Have an Agent. Not getting auditions.
4. Have an Agent. Getting auditions but not getting callbacks, avails, bookings.

What you will discover:
* 2 Powerful, breakthrough On-Camera Script/Copy exercises!
* 2 Very specific things Casting Directors expect an actor to execute when reading copy from the cue card.
* The #1 marketing tool actors can use to create more castings
* Power steps to take to energize your acting career when your Agent says, ""It's slow right now.""

Location: Hey, I Saw Your Commercial! Studios
5511 West Pico Blvd.
LA, CA 90019 (Near Hauser, East of Fairfax Blvd.)
Studio line: 323-939-4612 (email is best to RSVP)
YOU MUST RSVP YOUR SEAT VIA EMAIL! See how to information below.
Email your RSVP NOW!

Leave this information and your seat will be saved.
Name / Contact number:
Day and time you are attending.","compensation: Union, National Commercials pay $672 per day plus residuals",672,day,60383be92d7f374cbab3d9b9bae0612f@gigs.craigslist.org
Seeking social media expert,"QR Code Link to This Post
            
        
50+ year old publishing company seeking someone with social media experience.
Some college is preferred.
Microsoft Office experience required
Please send resume when responding to this posting",compensation: to be discussed,-1,NA,normnyc@aol.com
Earn $100-$300 Daily with your Home Base Business. Join Now!,QR Code Link to This Post,compensation: DOE,-1,NA,d49a99dbf19f37e3a8fb92d25054765a@gigs.craigslist.org
Data Entry,"QR Code Link to This Post
            
        
Looking to make a difference, you can be part of a team which is focused on your success, candidates must have a functional and working computer and printer.

Functions and Qualifications:
- Prepares weekly/monthly reports.
- Follows work rules and procedures.
- Problem solving and decision-making skills.",compensation: $15 per hour of work,15,hour,447c1846cabd37329b5e26948874b4f2@gigs.craigslist.org
LOOKING FOR MODELS - GREAT PAY $25,"QR Code Link to This Post
            
        
The White Distillery is searching for promotional models that can work weekly. 
We have WEEKLY EVENTS and pay bi-weekly. 

You must submit headshot and resume, failure to submit both you will not be considered. 

Promotional Models
Pay Rate: $25/hour",compensation: $25 HOURLY,25,hourly,e8f6301f56b032f0b4f92fbd9dd6c1dd@gigs.craigslist.org
Female Hand Model Needed for 2 days,"QR Code Link to This Post
            
        
Hello
We need a hand model for a small photoshoot we are doing in-house in our offices on w. mcnabb road in Pompano Beach. we need someone in for Tuesday (Jan 28th) and Wednesday (Jan 29th).
Times: 10 AM - 5 PM

Requirements:
* Female 18-35.
* Has Nice Hands, with nice simple Manicure, possibly just clear coat, or fench style, or white gel or red gel.

Pay: $15 Per hour. 

*PLEASE EMAIL A PHOTO OF YOUR HAND AND A PHONE NUMBER AND NAME",compensation: $15 per hour,15,hour,9c14c323a06a3365a93f74bd7e1602e4@gigs.craigslist.org
Creative Writers Needed✨,"QR Code Link to This Post
            
        
Hi!
We're looking to connect with writers who are passionate about human rights, holistic wellness, environmental-centered consciousness and celebrating women unapologetically. The ideal person has a spark for creative writing, a backbone to speak the truth and true believer in positive change and our impact on the world. We need writers who are interested in sharing their voice and empowering one another through writing. Think modern blog, Refinery29 turns activist ;) Does this sound like you?!✨

Our mission is bring positivity and change to people's lives through bringing forth awareness of the challenges we face and new ways to navigate life. We have put together a women-centered collective where women can grow and help grow with the goal that one day this movement can be global. We are looking for women who seek to create a sisterhood, empower one another and collaborate creatively, spiritually, culturally, intellectually and professionally. At the moment we are stepping onto new territory and are looking for writers who can collaborate their free time.

Topics to discuss include but are not limited to current day occurrences, growth, human rights, equal rights, activism, environmental topics, feminism, body positivity, psychology, raising vibration, spirituality, holistic wellness, food, nutrition, creativity, fashion, style, etc.

If you are passionate about any of these topics and would love to collaborate, please reach out with some information about you and why this interests you.

If you are not a writer but are still interested and would like to collaborate with other skills and strengths such as marketing, public speaking, motivational speaking, social media, graphic design, organizational skills, event planning, etc. feel free to reach out we'd love to hear from you!!",no pay,-1,NA,1318046e09fa3470bad5156111b6c0a5@gigs.craigslist.org
Need someone to do a computer task for me,"QR Code Link to This Post
            
        
Hello, 

I need someone to do a task for me.  You will only have to spend about 20 minutes on the computer to complete this task. When the task is complete, you will be paid 5 dollars.",compensation: 5 dollars,5,NA,262b8434c5ac370aa6e7629c6cf4f97c@gigs.craigslist.org
New Web Site Coordinator,"QR Code Link to This Post
            
        
New web site coordinator.  Part time position working from home with flexible hours coordinating web sites and data bases (to be completed by others).Verifiable experience and knowledge.  More details when we speak.  Imperative you reside in Williamsport area.  Please submit resume and outline of previous experience.  Salary to be discussed",compensation: to be discussed,-1,NA,cb436c097cfa3c7c8eb16cc11bcab4c1@gigs.craigslist.org
Models needed,"QR Code Link to This Post
            
        
We are shooting a few cars in Ann Arbor and are looking for a few men and woman to model in them. The cars are from the late sixties and early seventies. They are Detroit made.

While I don’t provide monetary compensation, I can give you photos of the shoot as well as a few head shots for your own use in your modeling portfolio.

If you’re interested, please send a few headshots of yourself. I will contact you very rapidly after your email.

Must be willing to sign a release form allowing us to use the shots.",no pay,-1,NA,3d2cae55fe5a31cf91391e3d650689a5@gigs.craigslist.org
Portrait Models Wanted,"QR Code Link to This Post
            
        
Portrait models wanted for developing artist series.
All sexes, ages, colors considered.",compensation: $25/hr,25,hr,a68459f08d2636069d13a3376dc8ecd6@gigs.craigslist.org
Looking for a male model,"QR Code Link to This Post
            
        
Hey!
We're looking for an experienced male model for shoot this friday 1/31/2020
Required ethnicity is white american 
It'll take around 4 hours max, compensation $100

Please response with:
-Name
-Age
-Heigh
-Couple photos or portfolio
-Phone number",compensation: $100,100,NA,cc47d05c9b45346786d843dee914d3a0@gigs.craigslist.org
"$30/Hour, Remote Task for Spanish Speakers","QR Code Link to This Post
            
        
Hello!

We are looking for native Spanish speakers in the US to join us in a speech recording project on our mobile app. This is a remote opportunity that will significantly impact the development of speech recognition technology.

We are collecting phone conversations to develop a new voice recognition device and your conversations will be made anonymous. You can contribute to these innovations while being paid for talking to your friends and family!

$30/Hour, Up to 10 hours per participant!

This project has limited slots only, install the app now, create your profile and start earning.

Available on Google Play (Android users) here: http://glbl.me/p9x

Available on App Store (iPhone users) here:http://glbl.me/pbq",compensation: $300,300,NA,a988df967ada35c0a1cc764908209a10@gigs.craigslist.org
Apple Motion Animation,"QR Code Link to This Post
            
        
Hello

I need some help getting started with Apple Motion animations in the 3d space.  I have a very open schedule, You can come to me or I can come to you.  At your convenience, time and location.

I can pay $25 an hour as needed. (cash or PayPal, your choice)

Basically I am looking to do a fly by, fly through pictures and need help understanding how to setup pictures in either Photoshop or motion and then move the camera through them.  Easy right : (",compensation: $25 hour,25,hour,bd78c7a712ae3c5c97b31f54842e9ad6@gigs.craigslist.org
Pregnant? Help revolutionize maternal health for women of color! Earn,"QR Code Link to This Post
            
        
Pregnant? Help revolutionize maternal health for women of color! Earn $150 for your time.
We are looking for pregnant women of color to participate in a project to develop a more inclusive and supportive healthcare process.
The study requires participants to engage in several actions over the course of 6-8 weeks and provide feedback to us:
Participate in a 30 minute webinar 
Engage with study organizers over text messages to follow and/or respond to three actions focused around third trimester prenatal care appointments.  
Complete 2-3 emailed surveys. 
Participants will be compensated for full participation (up to $150) 
Please complete this survey to help us determine if you are qualified for the group - https://life.typeform.com/to/P3YYZ4",compensation: Participants will be compensated for full participation (up to $150),150, full participation (up to $150),3a49229a727a3d149b603cf70069e9bc@gigs.craigslist.org
WordPress Guru,"QR Code Link to This Post
            
        
WordPress Website Developer to create starter websites for local businesses in NWA.

We provide small business services and would like to offer basic 3-5 page websites at flat fee affordable prices to local businesses. Fee structure include basic design and monthly charges for hosting and updates.

As our clients grow we would grow our services.

Percentage of fee charge plus possible equity position if you want to help grow the division.",compensation: %of Fee Charge + Possible Equity Position,-1,NA,882bb88351f33cd39bd270a141ce8b01@gigs.craigslist.org
SEO Guru,"QR Code Link to This Post
            
        
SEO Guru to help local businesses in NWA expand their reach through internet marketing.

We provide small business services and would like to offer basic SEO Services to improve SRP and reach on internet and social media. 

Google My Business and Google Adwords expertise a plus.  

As our clients grow we would grow our services.

Percentage of fee charge plus possible equity position if you want to help grow the division.",compensation: % of Fee Charge + Possible Equity Position,-1,NA,78571d2d75d13b0fac75f1a66a566023@gigs.craigslist.org
Need onsite computer tech / assembler today / tomorrow,"QR Code Link to This Post
            
        
I have a Windows 10 machine in a server rack that I need re-assembled with new components in a new server case as well as installation of new equipment in a second computer. The work must be performed onsite. 

This is a migration of the hard drive and not a new setup. 

I have other projects that need assistance as well.",compensation: $25 per hour,25,hour,b4992814f48136799b8978c044fb23c8@gigs.craigslist.org
Liberty Tax is Now Hiring Experienced Tax Preparers and Data Entry!!!!,"QR Code Link to This Post
            
        
Join our Liberty Tax Team! We will be conducting interviews daily, we have on the job training so you can learn how to prepare taxes! Experience is a plus.

We are currently hiring outgoing, strong customer service skilled and friendly people. This is a seasonal position so we are looking for dependable, reliable people that have good availability.

Maryland state certified tax professionals is a plus. Must be able to pass Maryland state exam to prepare taxes.

Locations:

15 Fontana Lane
Rosedale, Maryland 21237

If interested please email your resume and give us a call.


Thank You",compensation: $11 an hour plus commission,11,hour,412e43420a693a6894254335c6afa878@gigs.craigslist.org
Need Help Editing Photos,"QR Code Link to This Post
            
        
I have some photos that are black and white with some selective color.  I want to wash out the color so that only the outlines remain -- like a sketch -- but with selective color.  I have maybe 5 to 10 images.  I'm just no good on photo shop.",compensation: To be agreed,-1,NA,e52ba4dcf09d3be2bf7aa60aff39e773@gigs.craigslist.org
"Earn $$$ Posting Videos with your Smartphone, Drone, or Video Camera!","QR Code Link to This Post
            
        
Help us put video to work for your community!

1) Do you have a Smartphone, Drone or Video Camera?

2) Do you have a passion for Video, Drones, Photography, Journalism or Tech?

3) Would you like to earn money putting your creativity to work for your community?

If you answered ""Yes"" to all 3 questions, then ""VideoBlvd"" is the platform for you. VideoBlvd gives you the opportunity start earning money putting video to work for your local community.

Click here https://VideoBlvd.com/careers.html to apply.",compensation: Receive $100 - $500 per video,100, video,ee4308d3399e3bf197d6ebfb609c419d@gigs.craigslist.org
Toycycle is Seeking Marketing and Operations Interns,"QR Code Link to This Post
            
        
Toycycle is Seeking a Marketing Intern and an Operations Intern

Looking for enthusiastic interns in marketing and operations to help implement cross-channel sales strategies and campaigns for a local startup in the consumer/parenting space.

The ideal candidates are energetic self-starters, quick learners, excellent copywriters, have an understanding of SEO, are interested in learning about the operations and marketing of an early-stage startup, and are able to contribute 4-8 hours a week. Photography skills a plus. Located near Mills College in Oakland, CA.

Interns work directly with the founding team and other team members.

You gain experience, references, and a stipend.

TOYCYCLE is the easiest way to buy or sell used toys and baby gear. Sellers get extraordinary convenience with our doorstep pick-up consignment service. Buyers enjoy fully vetted products with a satisfaction guarantee. www.toycycle.co

If interested, please submit a cover letter telling us a bit about yourself and why you are interested in this position as well as a short writing sample.",compensation: Stipend,-1,NA,4924e4e4d0dc35d4bd506caa18c2eaa4@gigs.craigslist.org
Model Needed for Photo Shoot No Experience Required,"QR Code Link to This Post
            
        
We are seeking models both female and male of ages 28 - 46, all body types in the Los Angeles area for a photoshoot with our health supplement products NO EXPERIENCE required

The model will be featured on our website and our social media accounts. This is a great opportunity to build a portfolio and exposure.

We are providing $75 for 1 hour

Salary: $75 - 1 hour

WHAT YOU WILL NEED - Please send us your resume along with your portfolio or social media accounts for review. Must include attachment of your portfolio, Instagram handle, or photos and age.",compensation: $75/hour,75,hour,3c2a49175e0330a4a18c7ba8ff708ef7@gigs.craigslist.org
Videography Position Available,"QR Code Link to This Post
            
        
Hi, I’m looking to fill a videography position for a new startup that I’m launching this week. 

I’m looking for an experienced videographer who is available for 2-3 hours each weekday for the near term. 

Please text 443-564-0123 if you’re interested and are available.",compensation: TBD,-1,NA,6fe34cec21233a4aa610e8a0febedff4@gigs.craigslist.org
Need a photo editor for small project available today,"QR Code Link to This Post
            
        
Hello 

I need a remote editor that can do a basic job for me - 
1. Resizing images 
2. Re- saving professional images in a different format 

Must have illustrator and the right software
Must have good experience in the following
Must have time to finish the job in a day

Will pay 50$",compensation: 50,50,NA,ridak180@gmail.com
Models needed for Product Photoshoot,"QR Code Link to This Post
            
        
Types of photos: lifestyle product photos
Dates: Wednesday (1/29) and/or Thursday (1/30). 
Times: sometime between 2pm and 5pm
Duration of shoot: 2hrs 


We are Eyce, a local Bend business looking for a few models to help us with some lifestyle product photos. We make and sell silicone water pipes, so the desired model should be comfortable working with and handling cannabis related materials. (Actual smoking is not required). Feel free to take a look at our brand and products at www.eycemolds.com

Please send a link to your portfolio or attach a few example photos of your work.",compensation: $50 for 2 hours,50,hour,c2514bfb979e33acb87857ce9e7aaacf@gigs.craigslist.org
Haircut Model Casting,"QR Code Link to This Post
            
        
R+Co (@randco / https://www.randco.com ) is currently casting haircut models for an in-salon demo in Riverview, MI on Monday, 2/17. Hair will be cut by R+Co Global Educator, Andrean Noir.

If cast, model must be available on 2/17 from 8:00am to 10:30am.

- MODEL PROFILE:
- FEMALE OR MALE MODEL 
- DESIRES MORE MOVEMENT AND VOLUME WITHOUT LOSING TOO MUCH LENGTH
- MUST HAVE HAIR THAT IS 6-12 INCHES PAST COLLAR BONE
- MEDIUM DENSITY + TEXTURED HAIR
- NOT EXCESSIVELY THICK OR Z PATTERN KINK
- NO KERATIN TREATMENTS OR EXTENSIONS

Compensation – $100

***PLEASE REPLY TO POSTING WITH HEADSHOT AND/OR SELFIE AND A PROFILE SHOT WHERE HAIR LENGTH AND TEXTURE ARE VISIBLE",compensation: $100,100,NA,2d6acdfe1aa0314bbbd4e23765a4b382@gigs.craigslist.org
sound mixer/boom operator with equipment,"QR Code Link to This Post
            
        
Looking for sound mixer/boom operator with equipment for a 2 day short film shoot Feb 8. and Feb 9.
Let us know what equipment you have and what experience you have. 
Looking to pay $100/day.",compensation: $100/day,100,day,4208321e431b3a5f87df33ed02b65f86@gigs.craigslist.org
Looking For Festival Models,"QR Code Link to This Post
            
        
Do you have an outgoing personality that understands and enjoys festival culture, live music, brand, and experiential marketing? If you would like to get paid to attend and work as a model at festivals, please read on.

BookModels, a new online modeling platform, is recruiting models (of all genders and sizes) for the 2020 Rust Belt festival season 

These are 1099 independent contractor positions.  Please be and adult, reliable, and have an outgoing and engaging personality. 

Register @ https://www.festivalmodels.com",compensation: $15-$50+/hr (contract),15,hr,1ed3f5fd1d86383a91036a30d3ac002e@gigs.craigslist.org
Female models start today!!,"QR Code Link to This Post
            
        
Hiring female models ages 20-35 for a variety of projects. Best compensation in industry great atmosphere to start your career or grow it. Contact us today for more info!",compensation: $1300 per week or more,1300, week or more,f037955ff66530ccad4aeb05e159dcb3@gigs.craigslist.org
On-Going Videography Position Available,"QR Code Link to This Post
            
        
Hi, I’m looking to fill a videography position for a new startup that I’m launching this week. 

I’m looking for an experienced videographer who is available for 2-3 hours each weekday for the near term. 

Please text 443-564-0123 if you’re interested and are available.",compensation: TBD,-1,NA,95cd12ddb5c6341ea5a58f693ffd5016@gigs.craigslist.org
"Manuscript scan, process, edit","QR Code Link to This Post
            
        
I have a few hundred typed pages.  I need someone who can scan, convert the PDFs to Word, and later on assist with editing and formatting.  So, you will need a scanner and Adobe Acrobat. Also, there are some hand-printed pages that need to be typed in.",compensation: $10/hour,10,hour,7a3567e0ad473ce8a2565f43bb76feed@gigs.craigslist.org
English/Japanese In-Person Translator for 1/30 & 2/1.,"QR Code Link to This Post
            
        
English/Japanese in-person translator needed for 1/30 & 2/1. It's a quick routine visit to a clinic in the morning (30 min). The patient will do a quick routine blood work and scan. Pay's $80 for each visit.",compensation: $80/ea,80,ea,4a8099b09b233379b7bff304cb5a4216@gigs.craigslist.org
Model Needed for Photo Shoot in Mission Hills,"QR Code Link to This Post
            
        
We are seeking models of ages 20 - 45, all body types in the Los Angeles area for a photoshoot with our Body Maxx products NO EXPERIENCE required

The model will be featured on our website and our social media accounts. This is a great opportunity to build a portfolio and exposure.

We are providing $75 for 1 hour

Salary: $75 - 1 hour

Company's website:
www.mybodymaxx.com


WHAT YOU WILL NEED - Please send us your resume along with your portfolio or social media accounts for review. Must include attachment of your portfolio, Instagram handle, or photos and age.",compensation: $75/hour,75,hour,7a1b49c889db35658a995150aed2230e@gigs.craigslist.org
Tesla Driver / Model Needed,"QR Code Link to This Post
            
        
Hi, I represent a company that has designed a series of special custom designed long sleeved dress shirts that are designed specifically for Tesla Automobile Owners. We need local Tesla owners to model this shirt. We will take still shots and video of you wearing and demonstrating the function of the shirt. (Simple movements of your arms). We may use your commentary of the functionality of the shirt. This will be published on Youtube and it will be great for your Facebook, Instagram, etc. Please apply with your shirt size, contact info, Tesla Model and availability. Thank you for your time.",compensation: $100 Cash,100,NA,060012eab1d332b5ae1032d188001d48@gigs.craigslist.org
Female Model Needed for Photo Shoot No Experience Required,"QR Code Link to This Post
            
        
We are seeking models of ages 20 - 45, all body types in the Los Angeles area for a photoshoot with our Body Maxx products NO EXPERIENCE required

The model will be featured on our website and our social media accounts. This is a great opportunity to build a portfolio and exposure.

We are providing $75 for 1 hour

Salary: $75 - 1 hour

Company's website:
www.mybodymaxx.com


WHAT YOU WILL NEED - Please send us your resume along with your portfolio or social media accounts for review. Must include attachment of your portfolio, Instagram handle, or photos and age.",compensation: $75/hour,75,hour,b51e79f7599c335a86d3b5743f153ea5@gigs.craigslist.org
🔮 18-35y/o Female Models Casting 🔮 Starting pay: 75/hr,"QR Code Link to This Post
            
        
Models:
Female 18- 35, body positive.
Comfortable shooting bikini.
Dont hesitate to apply. All applications are treated with respect and confidentiality.

Casting:
Experienced photographer shooting edgy, provocative content for limited artistic and commercial distribution.

Application:
Submit photos and phone number for a callback.
Send a link to your social media (IG, VSCO) for a faster response.

Pay:
$75-250/hr",compensation: 75 - 250 per hour,75,hour,78815bd61f6639e1b0045f4082890ed5@gigs.craigslist.org
Photo Editing,"QR Code Link to This Post
            
        
I need a photo of my product added to other photos off Google so I can advertize it on instagram. I want it to look like the photo attached.

Please call 732-766-0483",compensation: Negotiable,-1,NA,8c3d22542b5c3849adb215681ba74a25@gigs.craigslist.org
Fun actor for short video,"QR Code Link to This Post
            
        
Thursday, January 30th
9am - 5pm 
$100, lunch provided
Any Gender!

We are filming a short promotional video for use on Kickstarter. We need a dynamic, camera-friendly person to play the role of the presenter. There aren't a lot of lines to remember, but comfort and camera presence is key. The tone of the video is fun and a little odd. You will be playing it straight while those around you are being quirky. 

If interested, please respond with a short paragraph about you and a couple of photos. If you have a link of you on camera, even better!","compensation: $100 for the day, with lunch provided.",100,day,d55eab7ddb1a3fb68e7e59da6c50f80d@gigs.craigslist.org
FASHION WEEK NY MODEL AUDITION THIS SATURDAY IN NYC,"QR Code Link to This Post
            
        
FASHION WEEK NY MODEL AUDITION

FASHION WEEK OPEN MODEL AUDITION CASTING CALL - PLEASE REVIEW THE FULL DETAILS BELOW.

SATURDAY – FEBRUARY 1, 2020
Audition Time: 4 TO 5PM

At STEPPING OUT STUDIOS
37 West 26 Street
Between Broadway & 6th Avenue
9th Floor
NEW YORK CITY

Visit www.Plitzs.com/nycfashionweek

MODELS WILL NOT BE SEEN IF NOT IN THE AUDITION ATTIRE LISTED BELOW.

Models must Audition in person
FOR PLITZS New York City Fashion Week

Female Models must be between the ages of 13 to 35 years old and height 5-9 and up and dress size 0 to 8.

Male Models must be between the ages of 16 to 35 years old and height 6 to 6'3 and in good shape.

PLEASE NOTE: Models under the age of 18 years old must attend the model audition casting call with a parent or legal guardian.

AUDITION ATTIRE:
WOMEN - Wear Fitted Skinny Jeans and Fitted All White Top with Minimum 3 inch Stiletto Heels.
Female Models must be between the ages of 13 to 35 years old and height 5-9 and up and dress size 0 to 8.

AUDITION ATTIRE:
MALE - Wear Fitted Jeans and Fitted All White Top.
Male Models must be between the ages of 16 to 35 years old and height 6 Foot and up.",no pay,-1,NA,Staff@Plitzs.com
"Female, Caucasian, Model/Dancer Needed For Photo and Video Shoots","QR Code Link to This Post
            
        
Hello! Thanks for reading my post. This gig is on-going and is paid. Pay is congruent to your skill and experience. Below you’ll find the details of the project.

=====

WHO I AM:
I am a local, Bay Area, Sci-Fi author. I’m releasing my book in February and I’m creating promotional and marketing materials for the book in the form of photos and videos.

I’m wanting to bring characters from my book to life by finding people who can best represent them. I’ve already hired a very talented young lady who represents one of the characters from the book. We’ve already had a few photoshoots. You can see samples of these shots in photo section below.

WHO YOU ARE:
You are a local, Bay Area model who has dance experience (Hip Hop, Jazz, Modern, Ballet, etc.) or you’re a dancer who has some modeling experience. You are 20 to 30 years old and are caucasian. 

You don’t have to be represented by a manager or agency, but please do have a professional and courteous attitude. 

You will be required to sign a photo release form to use your images for marketing and promotional material.

HOW TO INQUIRE:
Please send photos of yourself and any YouTube links that show your dance abilities. Please do NOT send videos as attachments, as they are too large. Please upload the videos to YouTube and then send me a link. 

=====

Thank you so much for your time and consideration! I greatly look forward to hearing from you.",compensation: Pay is congruent with your experience. You WILL be paid.,-1,ience. You WILL be paid.,a156141abbad35128cb6fb52f9b03eeb@gigs.craigslist.org
Promotional Model,"QR Code Link to This Post
            
        
Ever been told you should model? No experience? Need some help? Have some experience, want more?

Highly recognized photographer looking for female model. Initial photography shoot will be in and around Raleigh. Additional photography shoots include studio and locations such as art galleries, museums and jewelry and clothing boutiques.

We are looking for attractive, fit female models for a variety of photo shoots in multiple venues over the next few weeks. Ideal model between the age of 18 and 25.

Excellent opportunity for creative, energetic person with ideas of becoming a professional model, spokesperson and/or photographer.

Send a couple of pics of yourself, your age, and your availability. We will reply with more information. Include your email address and phone number.",compensation: Up to $25 per hour,25,hour,b454a97072793f80950612cc95b3be6d@gigs.craigslist.org
Join the Peace of Mind Mobile Marketing Team,"QR Code Link to This Post
            
        
You Drive 🚗 Leads Come In 📬 We Close 🏠  You Make Extra Cash 💵

Peace of Mind, LLC is a leading provider of asset protection and financial solutions for  individuals and businesses and we want you on our team! Check out the website above to see our full range of services.  Advertise our decal on your vehicle’s rear window and make $500 or 50% of the total service agreement (if first payment is under $500) for each new deal we close! 

💵 Here’s How It Works 💵
·	We pay for the decal and installation is free and easy. The decal is harmless to your car rear window and installation takes less than 5 minutes. 

·	Every time we close a deal that comes from your car’s decal, you get paid. We keep a running total of deals closed and pay every 2 weeks. Each lead is carefully tracked to compensate you for participating.  We can do all of the work, so you never have to take a call or reply to anyone. We have systems in place to respond quickly and efficiently. Every driver gets a unique extension, so we know which vehicle the lead came from.

·	If you want to take calls, we’ll put your number on the decal and give you the script so you can answer simple questions and forward us the lead so we can close the deal.  By taking the calls yourself, you can track your own leads. Once we close on the leads you provide us, we’ll notify you so you can expect a commission for that new sale.

·	There is no limit to how many qualifying leads you can be paid for!

·	A Window Advertisement Agreement is signed with each of our drivers so you know you will be paid whenever we close a deal.

There is a $99 application fee to ensure our applicants are serious about the opportunity. We are looking to add another 30+ drivers to our team. Please reply to this ad and we can send you an application with more information.",compensation: 50% or $500,50,NA,89446d0e10273adea8c1a7cac6388d06@gigs.craigslist.org
